id;password_hash;password_salt;created_at;is_current;change_reason;valid_to;can_reuse
1;découper en super;atchoum accomplir;2025-04-30T15:42:58;false;orange considérer;2025-04-29T19:41:07;false
2;autour lunatique;contre engager snob;2025-04-30T12:43:30;false;secours tic-tac délectable;2025-04-30T02:50:05;true
3;précisément croâ;candide;2025-04-30T02:53:50;true;caractériser juriste;2025-04-30T08:15:34;true
4;concilier;candide de;2025-04-29T22:17:12;true;échanger jusqu’à ce que avant que;2025-04-30T03:27:34;false
5;posséder rejeter;sembler triangulaire;2025-04-30T15:10:53;true;produire badaboum;2025-04-30T08:12:55;true
6;pourpre en vérité ouch;bâtir au défaut de;2025-04-29T20:59:57;false;admirablement fonctionnaire ainsi;2025-04-30T14:53:12;false
7;de crainte que;au point que d'avec au-dessous;2025-04-29T23:17:32;true;svelte de devant;2025-04-30T03:56:03;true
8;adversaire propre;tant égoïste;2025-04-29T17:39:12;true;tsoin-tsoin mairie miaou;2025-04-30T08:04:09;false
9;aïe commis de cuisine;naguère insipide;2025-04-30T10:15:57;true;de d’autant que;2025-04-30T15:26:45;true
10;jusque au prix de atténuer;en outre de tellement ha ha;2025-04-30T01:06:10;true;au cas où;2025-04-29T18:34:42;false
