id;first_name;last_name;telephone;email;other_telephone;dob;nif;cin;ninu;passport_number;licence_number;code;sex;marital_status;is_active;two_factor_enabled;failed_login_attempts;is_blocked;user_type;password
1;Loïc;Guerin;+33 693787522;Abelard67@yahoo.fr;sus téméraire électorat;2025-04-30;séculaire;pendant;en outre de;simple affable;antagoniste;partout que pin-pon;M;CELIBATAIRE;SUSPENDED;false;20557;false;STUDENT;que assez glouglou
2;Falba;Rey;+33 296145944;Amande.Joly43@gmail.com;diplomate;2025-04-30;étant donné que innombrable hebdomadaire;en decà de exprès;si bien que à peine splendide;derrière ouin infiniment;épuiser;au-dessous de secouriste à côté de;F;VEUF;INACTIVE;false;31431;true;STUDENT;y tsoin-tsoin glouglou
3;Ancelin;Arnaud;0527237256;Adolphe75@gmail.com;athlète boum;2025-04-29;proche de;au cas où;cocorico à même smack;fournir coupable;jusque;à travers à moins de;M;CONCUBINAGE;INACTIVE;true;23182;false;EMPLOYEE;bang vide
4;Séverin;Louis;0233832598;Ghislain_Guillaume@yahoo.fr;découvrir au dépens de oups;2025-04-30;actionnaire pschitt ouf;achever pff de sorte que;foule;à l'instar de bientôt infiniment;athlète boum;entretenir de sorte que;F;VEUF;SUSPENDED;false;334;true;EMPLOYEE;sédentaire
5;Régis;Menard;0115777782;Chrysostome_Leclerc@gmail.com;paf là;2025-04-30;outre appliquer cyan;administration;membre titulaire délectable;racheter debout;gueuler mairie;communauté étudiante;F;CELIBATAIRE;INACTIVE;true;27259;false;STUDENT;considérable aussitôt que
6;Garance;Lefevre;0279939285;Maxence30@gmail.com;prestataire de services chef;2025-04-30;au-dessous de responsable;moins;en face de;lorsque tant;considérable;hôte affable;M;CELIBATAIRE;ACTIVE;false;17870;true;STUDENT;diablement rectorat terriblement
7;Pascal;Andre;+33 707109986;Adalberon84@yahoo.fr;copier lorsque près;2025-04-29;cot cot ressembler;atchoum;dès que;tant;commissionnaire juriste du fait que;oh mince oh;F;CELIBATAIRE;INACTIVE;false;31031;true;EMPLOYEE;vouh sale transmettre
8;Aglaé;Giraud;+33 771237793;Marius.Roche@hotmail.fr;peu couler;2025-04-30;fourbe exprès;hé hé alors que;lorsque;nettoyer;promener gravir situer;après que absorber sombre;F;VEUF;SUSPENDED;false;4130;false;EMPLOYEE;du moment que quand
9;Olympe;Fontaine;0793179865;Abondance.Durand@gmail.com;sage arracher;2025-04-30;snif;comme jusque psitt;svelte en faveur de;violer gens;groin groin turquoise;broum circulaire;M;CELIBATAIRE;ACTIVE;true;9817;false;EMPLOYEE;lâche
10;Paule;Roux;0611536248;Rodrigue_Blanchard96@yahoo.fr;membre de l’équipe séculaire après que;2025-04-30;quasiment pauvre jusque;sauf trop peu pour;partenaire;aussitôt que passablement espiègle;sale;jamais sur;F;VEUF;BLOCKED;true;17960;false;EMPLOYEE;même si de manière à ce que si bien que
